#time magnitude filter
53.0 20.08 i
53.0 19.71 r
53.0 18.77 u
53.0 20.59 y
53.0 20.37 z
54.0 19.26 g
54.0 20.13 i
54.0 19.75 r
54.0 18.81 u
54.0 20.64 y
54.0 20.41 z
55.0 19.3 g
55.0 20.17 i
55.0 19.79 r
55.0 18.85 u
55.0 20.68 y
55.0 20.45 z
56.0 19.34 g
56.0 20.21 i
56.0 19.83 r
56.0 18.89 u
56.0 20.72 y
56.0 20.5 z
57.0 19.38 g
57.0 20.25 i
57.0 19.87 r
57.0 18.92 u
57.0 20.76 y
57.0 20.54 z
58.0 19.42 g
58.0 20.29 i
58.0 19.91 r
58.0 18.96 u
58.0 20.8 y
58.0 20.58 z
59.0 19.46 g
59.0 20.33 i
59.0 19.95 r
59.0 19.0 u
59.0 20.85 y
59.0 20.62 z
60.0 19.5 g
60.0 20.37 i
60.0 19.99 r
60.0 19.04 u
60.0 20.89 y
60.0 20.66 z
61.0 19.53 g
61.0 20.41 i
61.0 20.03 r
61.0 19.08 u
61.0 20.93 y
61.0 20.7 z
62.0 19.57 g
62.0 20.45 i
62.0 20.07 r
62.0 19.11 u
62.0 20.97 y
62.0 20.74 z
63.0 19.61 g
63.0 20.49 i
63.0 20.11 r
63.0 19.15 u
63.0 21.0 y
63.0 20.78 z
64.0 19.65 g
64.0 20.53 i
64.0 20.15 r
64.0 19.19 u
64.0 21.04 y
64.0 20.82 z
65.0 19.68 g
65.0 20.56 i
65.0 20.18 r
65.0 19.22 u
65.0 21.08 y
65.0 20.85 z
66.0 19.72 g
66.0 20.6 i
66.0 20.22 r
66.0 19.26 u
66.0 21.12 y
66.0 20.89 z
67.0 19.76 g
67.0 20.64 i
67.0 20.26 r
67.0 19.29 u
67.0 21.16 y
67.0 20.93 z
68.0 19.79 g
68.0 20.68 i
68.0 20.29 r
68.0 19.33 u
68.0 21.19 y
68.0 20.97 z
69.0 19.83 g
69.0 20.71 i
69.0 20.33 r
69.0 19.36 u
69.0 21.23 y
69.0 21.0 z
70.0 19.86 g
70.0 20.75 i
70.0 20.37 r
70.0 19.4 u
70.0 21.27 y
70.0 21.04 z
71.0 19.9 g
71.0 20.79 i
71.0 20.4 r
71.0 19.43 u
71.0 21.3 y
71.0 21.08 z
72.0 19.93 g
72.0 20.82 i
72.0 20.44 r
72.0 19.47 u
72.0 21.34 y
72.0 21.11 z
73.0 19.97 g
73.0 20.86 i
73.0 20.47 r
73.0 19.5 u
73.0 21.37 y
