#time magnitude filter
33.0 18.48 y
34.0 18.34 z
41.0 17.94 g
36.0 18.22 i
38.0 18.05 r
44.0 17.97 u
34.0 18.53 y
35.0 18.38 z
42.0 17.98 g
37.0 18.26 i
39.0 18.09 r
45.0 18.01 u
35.0 18.57 y
36.0 18.42 z
43.0 18.02 g
38.0 18.3 i
40.0 18.13 r
46.0 18.05 u
36.0 18.61 y
37.0 18.47 z
44.0 18.06 g
39.0 18.35 i
41.0 18.18 r
47.0 18.09 u
37.0 18.65 y
38.0 18.51 z
45.0 18.1 g
40.0 18.39 i
42.0 18.22 r
48.0 18.12 u
38.0 18.7 y
39.0 18.55 z
46.0 18.14 g
41.0 18.43 i
43.0 18.26 r
49.0 18.16 u
39.0 18.74 y
40.0 18.6 z
47.0 18.18 g
42.0 18.47 i
44.0 18.3 r
50.0 18.2 u
40.0 18.79 y
41.0 18.64 z
48.0 18.21 g
43.0 18.52 i
45.0 18.34 r
51.0 18.23 u
41.0 18.83 y
42.0 18.68 z
49.0 18.25 g
44.0 18.56 i
46.0 18.38 r
52.0 18.27 u
42.0 18.87 y
43.0 18.73 z
50.0 18.29 g
45.0 18.6 i
47.0 18.42 r
53.0 18.3 u
43.0 18.92 y
44.0 18.77 z
51.0 18.33 g
46.0 18.64 i
48.0 18.46 r
54.0 18.34 u
44.0 18.96 y
45.0 18.81 z
52.0 18.37 g
47.0 18.69 i
49.0 18.51 r
55.0 18.37 u
45.0 19.0 y
46.0 18.86 z
53.0 18.41 g
48.0 18.73 i
50.0 18.55 r
56.0 18.41 u
46.0 19.05 y
47.0 18.9 z
54.0 18.44 g
49.0 18.77 i
51.0 18.59 r
57.0 18.44 u
47.0 19.09 y
48.0 18.94 z
55.0 18.48 g
50.0 18.81 i
52.0 18.63 r
58.0 18.47 u
48.0 19.14 y
49.0 18.99 z
56.0 18.52 g
51.0 18.86 i
53.0 18.67 r
59.0 18.51 u
49.0 19.18 y
50.0 19.03 z
57.0 18.56 g
52.0 18.9 i
54.0 18.71 r
60.0 18.54 u
50.0 19.22 y
51.0 19.07 z
58.0 18.6 g
53.0 18.94 i
55.0 18.75 r
61.0 18.58 u
51.0 19.27 y
52.0 19.12 z
59.0 18.63 g
54.0 18.98 i
56.0 18.79 r
62.0 18.61 u
52.0 19.31 y
53.0 19.16 z
60.0 18.67 g
55.0 19.03 i
57.0 18.83 r
63.0 18.64 u
53.0 19.36 y
54.0 19.2 z
61.0 18.71 g
56.0 19.07 i
58.0 18.87 r
64.0 18.67 u
54.0 19.4 y
55.0 19.25 z
62.0 18.74 g
57.0 19.11 i
59.0 18.91 r
65.0 18.71 u
55.0 19.45 y
56.0 19.29 z
63.0 18.78 g
58.0 19.15 i
60.0 18.95 r
66.0 18.74 u
56.0 19.49 y
