#time magnitude filter
13.0 18.19 z
19.0 17.88 g
15.0 18.06 i
16.0 17.93 r
22.0 18.01 u
13.0 18.33 y
14.0 18.2 z
20.0 17.9 g
16.0 18.08 i
17.0 17.95 r
23.0 18.03 u
14.0 18.35 y
15.0 18.22 z
21.0 17.92 g
17.0 18.09 i
18.0 17.97 r
24.0 18.06 u
15.0 18.36 y
16.0 18.23 z
22.0 17.94 g
18.0 18.11 i
19.0 17.98 r
25.0 18.08 u
16.0 18.37 y
17.0 18.25 z
23.0 17.96 g
19.0 18.13 i
20.0 18.0 r
26.0 18.1 u
17.0 18.39 y
18.0 18.26 z
24.0 17.98 g
20.0 18.14 i
21.0 18.02 r
27.0 18.13 u
18.0 18.4 y
19.0 18.28 z
25.0 18.0 g
21.0 18.16 i
22.0 18.04 r
28.0 18.15 u
19.0 18.42 y
20.0 18.29 z
26.0 18.03 g
22.0 18.18 i
23.0 18.06 r
29.0 18.17 u
20.0 18.44 y
21.0 18.31 z
27.0 18.04 g
23.0 18.19 i
24.0 18.07 r
30.0 18.2 u
21.0 18.45 y
22.0 18.33 z
28.0 18.06 g
24.0 18.21 i
25.0 18.09 r
31.0 18.22 u
22.0 18.47 y
23.0 18.34 z
29.0 18.08 g
25.0 18.23 i
26.0 18.11 r
32.0 18.24 u
23.0 18.49 y
24.0 18.36 z
30.0 18.1 g
26.0 18.25 i
27.0 18.13 r
33.0 18.26 u
24.0 18.5 y
25.0 18.38 z
31.0 18.12 g
27.0 18.26 i
28.0 18.15 r
34.0 18.28 u
25.0 18.52 y
26.0 18.4 z
32.0 18.14 g
28.0 18.28 i
29.0 18.17 r
35.0 18.3 u
26.0 18.54 y
27.0 18.41 z
33.0 18.16 g
29.0 18.3 i
30.0 18.18 r
36.0 18.32 u
27.0 18.56 y
28.0 18.43 z
34.0 18.18 g
30.0 18.32 i
31.0 18.2 r
37.0 18.34 u
28.0 18.57 y
29.0 18.45 z
35.0 18.2 g
31.0 18.34 i
32.0 18.22 r
38.0 18.36 u
29.0 18.59 y
30.0 18.47 z
36.0 18.22 g
32.0 18.35 i
33.0 18.24 r
39.0 18.38 u
30.0 18.61 y
31.0 18.48 z
37.0 18.23 g
33.0 18.37 i
34.0 18.26 r
40.0 18.4 u
31.0 18.63 y
32.0 18.5 z
38.0 18.25 g
34.0 18.39 i
35.0 18.27 r
41.0 18.41 u
32.0 18.64 y
33.0 18.52 z
39.0 18.27 g
35.0 18.41 i
36.0 18.29 r
42.0 18.43 u
33.0 18.66 y
34.0 18.54 z
40.0 18.29 g
36.0 18.42 i
37.0 18.31 r
43.0 18.45 u
34.0 18.68 y
35.0 18.56 z
41.0 18.31 g
37.0 18.44 i
38.0 18.33 r
44.0 18.47 u
35.0 18.7 y
36.0 18.57 z
42.0 18.32 g
38.0 18.46 i
39.0 18.34 r
45.0 18.48 u
36.0 18.72 y
37.0 18.59 z
43.0 18.34 g
39.0 18.48 i
40.0 18.36 r
46.0 18.5 u
37.0 18.73 y
38.0 18.61 z
44.0 18.36 g
40.0 18.5 i
41.0 18.38 r
47.0 18.52 u
38.0 18.75 y
39.0 18.63 z
45.0 18.37 g
41.0 18.51 i
42.0 18.4 r
48.0 18.53 u
39.0 18.77 y
40.0 18.65 z
46.0 18.39 g
42.0 18.53 i
43.0 18.41 r
49.0 18.55 u
40.0 18.79 y
41.0 18.66 z
47.0 18.41 g
43.0 18.55 i
44.0 18.43 r
50.0 18.56 u
41.0 18.81 y
42.0 18.68 z
48.0 18.42 g
44.0 18.57 i
45.0 18.45 r
51.0 18.58 u
42.0 18.83 y
43.0 18.7 z
49.0 18.44 g
45.0 18.59 i
46.0 18.47 r
52.0 18.59 u
43.0 18.84 y
44.0 18.72 z
50.0 18.46 g
46.0 18.6 i
47.0 18.48 r
53.0 18.61 u
44.0 18.86 y
45.0 18.74 z
51.0 18.47 g
47.0 18.62 i
48.0 18.5 r
54.0 18.62 u
45.0 18.88 y
46.0 18.76 z
52.0 18.49 g
48.0 18.64 i
49.0 18.52 r
55.0 18.64 u
46.0 18.9 y
47.0 18.77 z
53.0 18.5 g
49.0 18.66 i
50.0 18.54 r
56.0 18.65 u
47.0 18.92 y
48.0 18.79 z
54.0 18.52 g
50.0 18.68 i
51.0 18.55 r
57.0 18.66 u
48.0 18.94 y
49.0 18.81 z
55.0 18.54 g
51.0 18.69 i
52.0 18.57 r
58.0 18.68 u
49.0 18.96 y
50.0 18.83 z
56.0 18.55 g
52.0 18.71 i
53.0 18.59 r
59.0 18.69 u
50.0 18.97 y
51.0 18.85 z
57.0 18.57 g
53.0 18.73 i
54.0 18.6 r
60.0 18.71 u
51.0 18.99 y
52.0 18.87 z
58.0 18.58 g
54.0 18.75 i
55.0 18.62 r
61.0 18.72 u
52.0 19.01 y
53.0 18.88 z
59.0 18.6 g
55.0 18.77 i
56.0 18.64 r
62.0 18.73 u
53.0 19.03 y
54.0 18.9 z
60.0 18.61 g
56.0 18.78 i
57.0 18.66 r
63.0 18.75 u
54.0 19.05 y
55.0 18.92 z
61.0 18.63 g
57.0 18.8 i
