#time magnitude filter
30.0 17.08 g
29.0 17.34 i
29.0 17.18 r
30.0 17.08 u
29.0 17.6 y
29.0 17.47 z
31.0 17.12 g
30.0 17.38 i
30.0 17.22 r
31.0 17.12 u
30.0 17.64 y
30.0 17.51 z
32.0 17.16 g
31.0 17.42 i
31.0 17.26 r
32.0 17.16 u
31.0 17.68 y
31.0 17.55 z
33.0 17.2 g
32.0 17.46 i
32.0 17.3 r
33.0 17.2 u
32.0 17.72 y
32.0 17.59 z
34.0 17.24 g
33.0 17.5 i
33.0 17.34 r
34.0 17.24 u
33.0 17.76 y
33.0 17.63 z
35.0 17.28 g
34.0 17.54 i
34.0 17.38 r
35.0 17.28 u
34.0 17.8 y
34.0 17.67 z
36.0 17.32 g
35.0 17.58 i
35.0 17.42 r
36.0 17.32 u
35.0 17.84 y
35.0 17.71 z
37.0 17.36 g
36.0 17.62 i
36.0 17.46 r
37.0 17.36 u
36.0 17.88 y
36.0 17.75 z
38.0 17.4 g
37.0 17.65 i
37.0 17.5 r
38.0 17.4 u
37.0 17.92 y
37.0 17.79 z
39.0 17.44 g
38.0 17.69 i
38.0 17.53 r
39.0 17.44 u
38.0 17.96 y
38.0 17.83 z
40.0 17.47 g
39.0 17.73 i
39.0 17.57 r
40.0 17.48 u
39.0 17.99 y
39.0 17.86 z
41.0 17.51 g
40.0 17.77 i
40.0 17.61 r
41.0 17.51 u
40.0 18.03 y
40.0 17.9 z
42.0 17.55 g
41.0 17.8 i
41.0 17.65 r
42.0 17.55 u
41.0 18.07 y
41.0 17.94 z
43.0 17.58 g
42.0 17.84 i
42.0 17.68 r
43.0 17.59 u
42.0 18.1 y
42.0 17.97 z
44.0 17.62 g
43.0 17.87 i
43.0 17.72 r
44.0 17.62 u
43.0 18.14 y
43.0 18.01 z
45.0 17.65 g
44.0 17.91 i
44.0 17.75 r
45.0 17.66 u
44.0 18.18 y
44.0 18.05 z
46.0 17.69 g
45.0 17.95 i
45.0 17.79 r
46.0 17.69 u
45.0 18.21 y
45.0 18.08 z
47.0 17.73 g
46.0 17.98 i
46.0 17.82 r
47.0 17.73 u
46.0 18.25 y
46.0 18.12 z
48.0 17.76 g
47.0 18.02 i
47.0 17.86 r
48.0 17.76 u
47.0 18.28 y
47.0 18.15 z
49.0 17.79 g
48.0 18.05 i
48.0 17.89 r
49.0 17.79 u
48.0 18.32 y
48.0 18.19 z
50.0 17.83 g
49.0 18.09 i
49.0 17.93 r
50.0 17.83 u
49.0 18.35 y
49.0 18.22 z
51.0 17.86 g
50.0 18.12 i
50.0 17.96 r
51.0 17.86 u
50.0 18.39 y
50.0 18.26 z
52.0 17.9 g
51.0 18.15 i
51.0 18.0 r
52.0 17.89 u
51.0 18.42 y
51.0 18.29 z
53.0 17.93 g
52.0 18.19 i
52.0 18.03 r
53.0 17.93 u
52.0 18.46 y
52.0 18.32 z
54.0 17.96 g
53.0 18.22 i
53.0 18.06 r
54.0 17.96 u
53.0 18.49 y
53.0 18.36 z
55.0 17.99 g
54.0 18.25 i
54.0 18.1 r
55.0 17.99 u
54.0 18.52 y
54.0 18.39 z
56.0 18.03 g
55.0 18.29 i
55.0 18.13 r
56.0 18.02 u
55.0 18.55 y
55.0 18.42 z
57.0 18.06 g
56.0 18.32 i
56.0 18.16 r
57.0 18.05 u
56.0 18.59 y
56.0 18.45 z
58.0 18.09 g
57.0 18.35 i
57.0 18.19 r
58.0 18.09 u
57.0 18.62 y
57.0 18.49 z
59.0 18.12 g
58.0 18.38 i
58.0 18.22 r
59.0 18.12 u
58.0 18.65 y
58.0 18.52 z
60.0 18.15 g
59.0 18.41 i
59.0 18.25 r
60.0 18.15 u
59.0 18.68 y
59.0 18.55 z
61.0 18.18 g
60.0 18.44 i
60.0 18.28 r
61.0 18.17 u
60.0 18.71 y
60.0 18.58 z
62.0 18.21 g
61.0 18.47 i
61.0 18.31 r
62.0 18.2 u
61.0 18.74 y
61.0 18.61 z
63.0 18.24 g
62.0 18.5 i
62.0 18.34 r
63.0 18.23 u
62.0 18.77 y
62.0 18.64 z
64.0 18.27 g
63.0 18.53 i
63.0 18.37 r
64.0 18.26 u
63.0 18.8 y
63.0 18.67 z
65.0 18.3 g
64.0 18.56 i
64.0 18.4 r
65.0 18.29 u
64.0 18.83 y
64.0 18.7 z
66.0 18.32 g
65.0 18.59 i
65.0 18.43 r
66.0 18.32 u
65.0 18.86 y
65.0 18.73 z
67.0 18.35 g
66.0 18.62 i
66.0 18.46 r
67.0 18.34 u
66.0 18.89 y
66.0 18.76 z
68.0 18.38 g
67.0 18.65 i
67.0 18.49 r
68.0 18.37 u
67.0 18.92 y
67.0 18.79 z
69.0 18.41 g
68.0 18.68 i
68.0 18.52 r
69.0 18.4 u
68.0 18.95 y
68.0 18.81 z
70.0 18.44 g
69.0 18.7 i
69.0 18.54 r
70.0 18.43 u
69.0 18.98 y
69.0 18.84 z
71.0 18.46 g
70.0 18.73 i
70.0 18.57 r
71.0 18.45 u
70.0 19.0 y
70.0 18.87 z
72.0 18.49 g
71.0 18.76 i
71.0 18.6 r
72.0 18.48 u
71.0 19.03 y
71.0 18.9 z
73.0 18.52 g
72.0 18.79 i
72.0 18.62 r
73.0 18.5 u
72.0 19.06 y
72.0 18.93 z
74.0 18.54 g
73.0 18.81 i
73.0 18.65 r
74.0 18.53 u
73.0 19.09 y
73.0 18.95 z
75.0 18.57 g
74.0 18.84 i
74.0 18.68 r
75.0 18.56 u
74.0 19.11 y
74.0 18.98 z
76.0 18.59 g
75.0 18.87 i
75.0 18.7 r
76.0 18.58 u
75.0 19.14 y
75.0 19.01 z
77.0 18.62 g
76.0 18.89 i
76.0 18.73 r
77.0 18.61 u
76.0 19.17 y
76.0 19.03 z
78.0 18.65 g
77.0 18.92 i
77.0 18.76 r
78.0 18.63 u
77.0 19.19 y
77.0 19.06 z
79.0 18.67 g
78.0 18.95 i
78.0 18.78 r
79.0 18.66 u
78.0 19.22 y
78.0 19.08 z
80.0 18.7 g
79.0 18.97 i
79.0 18.81 r
80.0 18.68 u
79.0 19.24 y
79.0 19.11 z
81.0 18.72 g
80.0 19.0 i
80.0 18.83 r
81.0 18.7 u
80.0 19.27 y
80.0 19.14 z
82.0 18.74 g
81.0 19.02 i
81.0 18.86 r
82.0 18.73 u
81.0 19.29 y
81.0 19.16 z
83.0 18.77 g
82.0 19.05 i
82.0 18.88 r
83.0 18.75 u
82.0 19.32 y
82.0 19.19 z
84.0 18.79 g
83.0 19.07 i
83.0 18.91 r
84.0 18.78 u
83.0 19.34 y
83.0 19.21 z
85.0 18.82 g
84.0 19.1 i
84.0 18.93 r
85.0 18.8 u
84.0 19.37 y
84.0 19.23 z
86.0 18.84 g
85.0 19.12 i
85.0 18.95 r
86.0 18.82 u
85.0 19.39 y
85.0 19.26 z
87.0 18.86 g
86.0 19.14 i
86.0 18.98 r
87.0 18.84 u
86.0 19.42 y
86.0 19.28 z
88.0 18.89 g
87.0 19.17 i
87.0 19.0 r
88.0 18.87 u
87.0 19.44 y
87.0 19.31 z
89.0 18.91 g
88.0 19.19 i
88.0 19.03 r
89.0 18.89 u
88.0 19.47 y
88.0 19.33 z
90.0 18.93 g
89.0 19.22 i
89.0 19.05 r
90.0 18.91 u
89.0 19.49 y
89.0 19.36 z
91.0 18.96 g
90.0 19.24 i
90.0 19.07 r
91.0 18.93 u
90.0 19.51 y
90.0 19.38 z
92.0 18.98 g
91.0 19.26 i
91.0 19.1 r
92.0 18.96 u
91.0 19.54 y
91.0 19.4 z
93.0 19.0 g
92.0 19.29 i
92.0 19.12 r
93.0 18.98 u
92.0 19.56 y
92.0 19.43 z
94.0 19.02 g
93.0 19.31 i
93.0 19.14 r
94.0 19.0 u
93.0 19.59 y
93.0 19.45 z
95.0 19.05 g
94.0 19.33 i
94.0 19.16 r
95.0 19.02 u
94.0 19.61 y
94.0 19.47 z
96.0 19.07 g
95.0 19.35 i
95.0 19.19 r
96.0 19.04 u
95.0 19.63 y
95.0 19.5 z
97.0 19.09 g
96.0 19.38 i
96.0 19.21 r
97.0 19.07 u
96.0 19.65 y
96.0 19.52 z
98.0 19.11 g
97.0 19.4 i
97.0 19.23 r
98.0 19.09 u
97.0 19.68 y
97.0 19.54 z
99.0 19.13 g
98.0 19.42 i
98.0 19.25 r
99.0 19.11 u
98.0 19.7 y
98.0 19.56 z
100.0 19.16 g
99.0 19.44 i
99.0 19.28 r
100.0 19.13 u
99.0 19.72 y
99.0 19.59 z
101.0 19.18 g
100.0 19.47 i
100.0 19.3 r
101.0 19.15 u
100.0 19.74 y
100.0 19.61 z
102.0 19.2 g
