#time magnitude filter
44.0 20.97 r
44.0 20.65 u
44.0 21.47 y
44.0 21.34 z
45.0 20.81 g
45.0 21.2 i
45.0 21.0 r
45.0 20.67 u
45.0 21.5 y
45.0 21.37 z
46.0 20.84 g
46.0 21.23 i
46.0 21.03 r
46.0 20.7 u
46.0 21.53 y
46.0 21.39 z
47.0 20.86 g
47.0 21.25 i
47.0 21.05 r
47.0 20.72 u
47.0 21.55 y
47.0 21.42 z
48.0 20.89 g
48.0 21.28 i
48.0 21.08 r
48.0 20.74 u
48.0 21.58 y
48.0 21.45 z
49.0 20.91 g
49.0 21.31 i
49.0 21.1 r
49.0 20.77 u
49.0 21.61 y
49.0 21.47 z
50.0 20.94 g
50.0 21.33 i
50.0 21.13 r
50.0 20.79 u
50.0 21.63 y
50.0 21.5 z
51.0 20.96 g
51.0 21.36 i
51.0 21.15 r
51.0 20.81 u
51.0 21.66 y
51.0 21.52 z
52.0 20.98 g
52.0 21.38 i
52.0 21.18 r
52.0 20.84 u
52.0 21.69 y
52.0 21.55 z
53.0 21.01 g
53.0 21.41 i
53.0 21.2 r
53.0 20.86 u
53.0 21.71 y
53.0 21.58 z
54.0 21.03 g
54.0 21.43 i
54.0 21.23 r
54.0 20.88 u
54.0 21.74 y
54.0 21.6 z
55.0 21.06 g
55.0 21.46 i
55.0 21.25 r
55.0 20.91 u
55.0 21.76 y
55.0 21.63 z
56.0 21.08 g
56.0 21.48 i
56.0 21.28 r
56.0 20.93 u
56.0 21.79 y
56.0 21.65 z
57.0 21.1 g
57.0 21.51 i
57.0 21.3 r
57.0 20.95 u
57.0 21.81 y
57.0 21.68 z
58.0 21.13 g
58.0 21.53 i
58.0 21.33 r
58.0 20.97 u
58.0 21.84 y
58.0 21.7 z
59.0 21.15 g
59.0 21.56 i
59.0 21.35 r
59.0 21.0 u
59.0 21.86 y
59.0 21.73 z
60.0 21.17 g
60.0 21.58 i
60.0 21.37 r
60.0 21.02 u
60.0 21.89 y
60.0 21.75 z
61.0 21.2 g
61.0 21.61 i
61.0 21.4 r
61.0 21.04 u
61.0 21.91 y
61.0 21.78 z
62.0 21.22 g
62.0 21.63 i
62.0 21.42 r
62.0 21.06 u
62.0 21.94 y
62.0 21.8 z
63.0 21.24 g
63.0 21.66 i
63.0 21.45 r
63.0 21.09 u
63.0 21.96 y
63.0 21.83 z
64.0 21.27 g
64.0 21.68 i
64.0 21.47 r
64.0 21.11 u
64.0 21.99 y
64.0 21.85 z
65.0 21.29 g
65.0 21.7 i
65.0 21.49 r
65.0 21.13 u
65.0 22.01 y
65.0 21.87 z
66.0 21.31 g
66.0 21.73 i
66.0 21.52 r
66.0 21.15 u
66.0 22.04 y
66.0 21.9 z
67.0 21.33 g
67.0 21.75 i
67.0 21.54 r
67.0 21.17 u
67.0 22.06 y
67.0 21.92 z
68.0 21.36 g
68.0 21.77 i
68.0 21.56 r
68.0 21.19 u
68.0 22.08 y
68.0 21.95 z
69.0 21.38 g
69.0 21.8 i
69.0 21.59 r
69.0 21.22 u
69.0 22.11 y
69.0 21.97 z
70.0 21.4 g
70.0 21.82 i
70.0 21.61 r
70.0 21.24 u
70.0 22.13 y
70.0 21.99 z
71.0 21.42 g
71.0 21.84 i
71.0 21.63 r
71.0 21.26 u
71.0 22.15 y
71.0 22.02 z
72.0 21.45 g
72.0 21.87 i
72.0 21.65 r
72.0 21.28 u
72.0 22.18 y
72.0 22.04 z
73.0 21.47 g
73.0 21.89 i
73.0 21.68 r
73.0 21.3 u
73.0 22.2 y
73.0 22.06 z
74.0 21.49 g
74.0 21.91 i
74.0 21.7 r
74.0 21.32 u
74.0 22.22 y
74.0 22.09 z
75.0 21.51 g
75.0 21.94 i
75.0 21.72 r
75.0 21.34 u
75.0 22.25 y
75.0 22.11 z
76.0 21.53 g
76.0 21.96 i
76.0 21.74 r
76.0 21.36 u
76.0 22.27 y
76.0 22.13 z
77.0 21.55 g
77.0 21.98 i
77.0 21.77 r
77.0 21.38 u
77.0 22.29 y
77.0 22.15 z
78.0 21.57 g
78.0 22.0 i
78.0 21.79 r
78.0 21.4 u
78.0 22.32 y
78.0 22.18 z
79.0 21.6 g
79.0 22.03 i
79.0 21.81 r
79.0 21.42 u
79.0 22.34 y
79.0 22.2 z
80.0 21.62 g
80.0 22.05 i
80.0 21.83 r
80.0 21.44 u
80.0 22.36 y
80.0 22.22 z
81.0 21.64 g
81.0 22.07 i
81.0 21.85 r
81.0 21.46 u
81.0 22.38 y
81.0 22.24 z
82.0 21.66 g
82.0 22.09 i
82.0 21.87 r
82.0 21.48 u
82.0 22.41 y
82.0 22.27 z
83.0 21.68 g
83.0 22.11 i
83.0 21.89 r
83.0 21.5 u
83.0 22.43 y
83.0 22.29 z
84.0 21.7 g
84.0 22.13 i
84.0 21.92 r
84.0 21.52 u
84.0 22.45 y
84.0 22.31 z
85.0 21.72 g
85.0 22.16 i
85.0 21.94 r
85.0 21.54 u
85.0 22.47 y
85.0 22.33 z
86.0 21.74 g
86.0 22.18 i
86.0 21.96 r
86.0 21.56 u
86.0 22.49 y
86.0 22.35 z
87.0 21.76 g
87.0 22.2 i
87.0 21.98 r
87.0 21.58 u
87.0 22.51 y
87.0 22.37 z
88.0 21.78 g
88.0 22.22 i
88.0 22.0 r
88.0 21.6 u
88.0 22.54 y
88.0 22.4 z
89.0 21.8 g
89.0 22.24 i
89.0 22.02 r
89.0 21.62 u
89.0 22.56 y
89.0 22.42 z
90.0 21.82 g
90.0 22.26 i
90.0 22.04 r
90.0 21.64 u
90.0 22.58 y
90.0 22.44 z
91.0 21.84 g
91.0 22.28 i
91.0 22.06 r
91.0 21.66 u
91.0 22.6 y
91.0 22.46 z
92.0 21.86 g
92.0 22.3 i
92.0 22.08 r
92.0 21.68 u
92.0 22.62 y
92.0 22.48 z
93.0 21.88 g
93.0 22.32 i
93.0 22.1 r
93.0 21.7 u
93.0 22.64 y
93.0 22.5 z
94.0 21.9 g
94.0 22.34 i
94.0 22.12 r
94.0 21.72 u
94.0 22.66 y
94.0 22.52 z
95.0 21.92 g
95.0 22.36 i
95.0 22.14 r
95.0 21.74 u
95.0 22.68 y
95.0 22.54 z
96.0 21.94 g
96.0 22.39 i
96.0 22.16 r
96.0 21.76 u
96.0 22.7 y
96.0 22.56 z
97.0 21.96 g
97.0 22.41 i
97.0 22.18 r
97.0 21.77 u
97.0 22.72 y
97.0 22.58 z
98.0 21.98 g
98.0 22.43 i
98.0 22.2 r
98.0 21.79 u
98.0 22.74 y
98.0 22.6 z
99.0 22.0 g
99.0 22.45 i
99.0 22.22 r
99.0 21.81 u
99.0 22.76 y
99.0 22.62 z
100.0 22.02 g
100.0 22.47 i
100.0 22.24 r
100.0 21.83 u
100.0 22.78 y
100.0 22.64 z
101.0 22.04 g
101.0 22.49 i
101.0 22.26 r
101.0 21.85 u
101.0 22.81 y
101.0 22.66 z
102.0 22.05 g
102.0 22.5 i
102.0 22.28 r
102.0 21.87 u
102.0 22.82 y
102.0 22.68 z
103.0 22.07 g
103.0 22.52 i
103.0 22.3 r
103.0 21.88 u
103.0 22.84 y
103.0 22.7 z
104.0 22.09 g
104.0 22.54 i
104.0 22.32 r
104.0 21.9 u
104.0 22.86 y
104.0 22.72 z
105.0 22.11 g
105.0 22.56 i
105.0 22.34 r
105.0 21.92 u
105.0 22.88 y
105.0 22.74 z
106.0 22.13 g
106.0 22.58 i
106.0 22.36 r
106.0 21.94 u
106.0 22.9 y
106.0 22.76 z
107.0 22.15 g
107.0 22.6 i
107.0 22.38 r
107.0 21.96 u
107.0 22.92 y
107.0 22.78 z
108.0 22.17 g
108.0 22.62 i
108.0 22.39 r
108.0 21.97 u
108.0 22.94 y
108.0 22.8 z
109.0 22.18 g
109.0 22.64 i
109.0 22.41 r
109.0 21.99 u
109.0 22.96 y
109.0 22.82 z
110.0 22.2 g
110.0 22.66 i
110.0 22.43 r
110.0 22.01 u
110.0 22.98 y
110.0 22.84 z
111.0 22.22 g
111.0 22.68 i
111.0 22.45 r
111.0 22.03 u
111.0 23.0 y
111.0 22.86 z
112.0 22.24 g
112.0 22.7 i
112.0 22.47 r
112.0 22.04 u
112.0 23.02 y
112.0 22.88 z
113.0 22.26 g
113.0 22.71 i
113.0 22.49 r
113.0 22.06 u
