#time magnitude filter
53.0 24.29 i
53.0 23.94 r
53.0 23.08 u
53.0 24.78 y
53.0 24.56 z
54.0 23.49 g
54.0 24.3 i
54.0 23.94 r
54.0 23.09 u
54.0 24.78 y
54.0 24.57 z
55.0 23.5 g
55.0 24.3 i
55.0 23.95 r
55.0 23.1 u
55.0 24.79 y
55.0 24.57 z
56.0 23.5 g
56.0 24.31 i
56.0 23.96 r
56.0 23.1 u
56.0 24.8 y
56.0 24.58 z
57.0 23.51 g
57.0 24.32 i
57.0 23.96 r
57.0 23.11 u
57.0 24.8 y
57.0 24.59 z
58.0 23.52 g
58.0 24.32 i
58.0 23.97 r
58.0 23.11 u
58.0 24.81 y
58.0 24.59 z
59.0 23.52 g
59.0 24.33 i
59.0 23.97 r
59.0 23.12 u
59.0 24.82 y
59.0 24.6 z
60.0 23.53 g
60.0 24.33 i
60.0 23.98 r
60.0 23.13 u
60.0 24.82 y
60.0 24.61 z
61.0 23.54 g
61.0 24.34 i
61.0 23.99 r
61.0 23.13 u
61.0 24.83 y
61.0 24.61 z
62.0 23.54 g
62.0 24.35 i
62.0 23.99 r
62.0 23.14 u
62.0 24.83 y
62.0 24.62 z
63.0 23.55 g
63.0 24.35 i
63.0 24.0 r
63.0 23.15 u
63.0 24.84 y
63.0 24.62 z
64.0 23.55 g
64.0 24.36 i
64.0 24.01 r
64.0 23.15 u
64.0 24.85 y
64.0 24.63 z
65.0 23.56 g
65.0 24.36 i
65.0 24.01 r
65.0 23.16 u
65.0 24.85 y
65.0 24.64 z
66.0 23.57 g
66.0 24.37 i
66.0 24.02 r
66.0 23.16 u
66.0 24.86 y
66.0 24.64 z
67.0 23.57 g
67.0 24.38 i
67.0 24.02 r
67.0 23.17 u
67.0 24.86 y
67.0 24.65 z
68.0 23.58 g
68.0 24.38 i
68.0 24.03 r
68.0 23.18 u
68.0 24.87 y
68.0 24.65 z
69.0 23.58 g
69.0 24.39 i
69.0 24.04 r
69.0 23.18 u
69.0 24.88 y
69.0 24.66 z
70.0 23.59 g
70.0 24.39 i
70.0 24.04 r
70.0 23.19 u
70.0 24.88 y
70.0 24.67 z
71.0 23.6 g
71.0 24.4 i
71.0 24.05 r
71.0 23.19 u
71.0 24.89 y
71.0 24.67 z
72.0 23.6 g
72.0 24.41 i
72.0 24.05 r
72.0 23.2 u
72.0 24.89 y
72.0 24.68 z
73.0 23.61 g
73.0 24.41 i
73.0 24.06 r
73.0 23.2 u
73.0 24.9 y
73.0 24.68 z
74.0 23.61 g
74.0 24.42 i
74.0 24.06 r
74.0 23.21 u
74.0 24.9 y
74.0 24.69 z
75.0 23.62 g
75.0 24.42 i
75.0 24.07 r
75.0 23.22 u
75.0 24.91 y
75.0 24.7 z
76.0 23.62 g
76.0 24.43 i
76.0 24.08 r
76.0 23.22 u
76.0 24.92 y
76.0 24.7 z
77.0 23.63 g
77.0 24.43 i
77.0 24.08 r
77.0 23.23 u
77.0 24.92 y
77.0 24.71 z
78.0 23.64 g
78.0 24.44 i
78.0 24.09 r
78.0 23.23 u
78.0 24.93 y
78.0 24.71 z
79.0 23.64 g
79.0 24.45 i
79.0 24.09 r
79.0 23.24 u
79.0 24.93 y
79.0 24.72 z
80.0 23.65 g
80.0 24.45 i
80.0 24.1 r
80.0 23.24 u
80.0 24.94 y
80.0 24.72 z
81.0 23.65 g
81.0 24.46 i
81.0 24.1 r
81.0 23.25 u
81.0 24.94 y
81.0 24.73 z
82.0 23.66 g
82.0 24.46 i
82.0 24.11 r
82.0 23.26 u
82.0 24.95 y
82.0 24.73 z
83.0 23.66 g
83.0 24.47 i
83.0 24.12 r
83.0 23.26 u
83.0 24.96 y
83.0 24.74 z
84.0 23.67 g
84.0 24.47 i
84.0 24.12 r
84.0 23.27 u
84.0 24.96 y
84.0 24.75 z
85.0 23.67 g
85.0 24.48 i
85.0 24.13 r
85.0 23.27 u
85.0 24.97 y
85.0 24.75 z
86.0 23.68 g
86.0 24.48 i
86.0 24.13 r
86.0 23.28 u
86.0 24.97 y
86.0 24.76 z
87.0 23.69 g
87.0 24.49 i
87.0 24.14 r
87.0 23.28 u
87.0 24.98 y
87.0 24.76 z
88.0 23.69 g
88.0 24.5 i
88.0 24.14 r
88.0 23.29 u
88.0 24.98 y
88.0 24.77 z
89.0 23.7 g
89.0 24.5 i
89.0 24.15 r
89.0 23.29 u
89.0 24.99 y
89.0 24.77 z
90.0 23.7 g
90.0 24.51 i
90.0 24.15 r
90.0 23.3 u
90.0 24.99 y
90.0 24.78 z
91.0 23.71 g
91.0 24.51 i
91.0 24.16 r
91.0 23.31 u
91.0 25.0 y
91.0 24.78 z
92.0 23.71 g
92.0 24.52 i
92.0 24.16 r
92.0 23.31 u
92.0 25.0 y
92.0 24.79 z
93.0 23.72 g
93.0 24.52 i
93.0 24.17 r
93.0 23.32 u
93.0 25.01 y
93.0 24.79 z
94.0 23.72 g
94.0 24.53 i
94.0 24.18 r
94.0 23.32 u
94.0 25.02 y
94.0 24.8 z
95.0 23.73 g
95.0 24.53 i
95.0 24.18 r
95.0 23.33 u
95.0 25.02 y
95.0 24.81 z
96.0 23.73 g
96.0 24.54 i
96.0 24.19 r
96.0 23.33 u
96.0 25.03 y
96.0 24.81 z
97.0 23.74 g
97.0 24.54 i
97.0 24.19 r
97.0 23.34 u
97.0 25.03 y
97.0 24.82 z
98.0 23.74 g
98.0 24.55 i
98.0 24.2 r
98.0 23.34 u
98.0 25.04 y
98.0 24.82 z
99.0 23.75 g
99.0 24.55 i
99.0 24.2 r
99.0 23.35 u
99.0 25.04 y
99.0 24.83 z
100.0 23.76 g
100.0 24.56 i
100.0 24.21 r
100.0 23.35 u
100.0 25.05 y
100.0 24.83 z
101.0 23.76 g
101.0 24.56 i
101.0 24.21 r
101.0 23.36 u
101.0 25.05 y
101.0 24.84 z
102.0 23.77 g
102.0 24.57 i
102.0 24.22 r
102.0 23.36 u
102.0 25.06 y
102.0 24.84 z
103.0 23.77 g
103.0 24.58 i
103.0 24.22 r
103.0 23.37 u
103.0 25.06 y
103.0 24.85 z
104.0 23.78 g
104.0 24.58 i
104.0 24.23 r
104.0 23.37 u
104.0 25.07 y
104.0 24.85 z
105.0 23.78 g
105.0 24.59 i
105.0 24.23 r
105.0 23.38 u
105.0 25.07 y
105.0 24.86 z
106.0 23.79 g
106.0 24.59 i
106.0 24.24 r
106.0 23.38 u
106.0 25.08 y
106.0 24.86 z
107.0 23.79 g
107.0 24.6 i
107.0 24.24 r
107.0 23.39 u
107.0 25.08 y
107.0 24.87 z
108.0 23.8 g
108.0 24.6 i
108.0 24.25 r
108.0 23.39 u
108.0 25.09 y
108.0 24.87 z
109.0 23.8 g
109.0 24.61 i
109.0 24.25 r
109.0 23.4 u
109.0 25.09 y
109.0 24.88 z
110.0 23.81 g
110.0 24.61 i
110.0 24.26 r
110.0 23.4 u
110.0 25.1 y
110.0 24.88 z
111.0 23.81 g
111.0 24.62 i
111.0 24.26 r
111.0 23.41 u
111.0 25.1 y
111.0 24.89 z
112.0 23.82 g
112.0 24.62 i
112.0 24.27 r
112.0 23.41 u
112.0 25.11 y
112.0 24.89 z
113.0 23.82 g
113.0 24.63 i
113.0 24.27 r
113.0 23.42 u
113.0 25.11 y
113.0 24.9 z
114.0 23.83 g
114.0 24.63 i
114.0 24.28 r
114.0 23.42 u
114.0 25.12 y
114.0 24.9 z
115.0 23.83 g
115.0 24.64 i
115.0 24.28 r
115.0 23.43 u
115.0 25.12 y
115.0 24.91 z
116.0 23.84 g
116.0 24.64 i
116.0 24.29 r
116.0 23.43 u
116.0 25.13 y
116.0 24.91 z
117.0 23.84 g
117.0 24.65 i
117.0 24.29 r
117.0 23.44 u
117.0 25.13 y
117.0 24.92 z
118.0 23.85 g
118.0 24.65 i
118.0 24.3 r
118.0 23.44 u
118.0 25.14 y
118.0 24.92 z
119.0 23.85 g
