#time magnitude filter
26.0 19.51 y
26.0 19.34 z
27.0 18.63 g
27.0 19.17 i
27.0 18.91 r
28.0 18.4 u
27.0 19.54 y
27.0 19.38 z
28.0 18.65 g
28.0 19.2 i
28.0 18.94 r
29.0 18.43 u
28.0 19.57 y
28.0 19.41 z
29.0 18.68 g
29.0 19.23 i
29.0 18.97 r
30.0 18.46 u
29.0 19.6 y
29.0 19.44 z
30.0 18.71 g
30.0 19.26 i
30.0 19.0 r
31.0 18.48 u
30.0 19.64 y
30.0 19.47 z
31.0 18.74 g
31.0 19.29 i
31.0 19.03 r
32.0 18.51 u
31.0 19.67 y
31.0 19.5 z
32.0 18.77 g
32.0 19.32 i
32.0 19.06 r
33.0 18.54 u
32.0 19.7 y
32.0 19.53 z
33.0 18.8 g
33.0 19.35 i
33.0 19.09 r
34.0 18.56 u
33.0 19.73 y
33.0 19.56 z
34.0 18.83 g
34.0 19.38 i
34.0 19.12 r
35.0 18.59 u
34.0 19.76 y
34.0 19.59 z
35.0 18.86 g
35.0 19.42 i
35.0 19.15 r
36.0 18.62 u
35.0 19.8 y
35.0 19.63 z
36.0 18.89 g
36.0 19.45 i
36.0 19.18 r
37.0 18.65 u
36.0 19.83 y
36.0 19.66 z
37.0 18.92 g
37.0 19.48 i
37.0 19.21 r
38.0 18.68 u
37.0 19.86 y
37.0 19.69 z
38.0 18.95 g
38.0 19.51 i
38.0 19.24 r
39.0 18.7 u
38.0 19.89 y
38.0 19.72 z
39.0 18.98 g
39.0 19.54 i
39.0 19.27 r
40.0 18.73 u
39.0 19.93 y
39.0 19.76 z
40.0 19.01 g
40.0 19.58 i
40.0 19.31 r
41.0 18.76 u
40.0 19.96 y
40.0 19.79 z
41.0 19.04 g
41.0 19.61 i
41.0 19.34 r
42.0 18.79 u
41.0 19.99 y
41.0 19.82 z
42.0 19.07 g
42.0 19.64 i
42.0 19.37 r
43.0 18.82 u
42.0 20.03 y
42.0 19.85 z
43.0 19.1 g
43.0 19.67 i
43.0 19.4 r
44.0 18.85 u
43.0 20.06 y
43.0 19.89 z
44.0 19.13 g
44.0 19.71 i
44.0 19.43 r
45.0 18.88 u
44.0 20.09 y
44.0 19.92 z
45.0 19.16 g
45.0 19.74 i
45.0 19.47 r
46.0 18.91 u
45.0 20.13 y
45.0 19.95 z
46.0 19.19 g
46.0 19.77 i
46.0 19.5 r
47.0 18.94 u
46.0 20.16 y
46.0 19.99 z
47.0 19.22 g
47.0 19.81 i
47.0 19.53 r
48.0 18.96 u
47.0 20.19 y
47.0 20.02 z
48.0 19.25 g
48.0 19.84 i
48.0 19.56 r
49.0 18.99 u
48.0 20.23 y
48.0 20.05 z
49.0 19.28 g
49.0 19.87 i
49.0 19.59 r
50.0 19.02 u
49.0 20.26 y
49.0 20.09 z
50.0 19.31 g
50.0 19.9 i
50.0 19.63 r
51.0 19.05 u
50.0 20.3 y
50.0 20.12 z
51.0 19.35 g
51.0 19.94 i
51.0 19.66 r
52.0 19.08 u
51.0 20.33 y
51.0 20.16 z
52.0 19.38 g
52.0 19.97 i
52.0 19.69 r
53.0 19.11 u
52.0 20.36 y
52.0 20.19 z
53.0 19.41 g
53.0 20.0 i
53.0 19.72 r
54.0 19.14 u
53.0 20.4 y
53.0 20.22 z
54.0 19.44 g
54.0 20.04 i
54.0 19.76 r
55.0 19.17 u
54.0 20.43 y
54.0 20.26 z
55.0 19.47 g
55.0 20.07 i
55.0 19.79 r
56.0 19.2 u
55.0 20.47 y
55.0 20.29 z
56.0 19.5 g
56.0 20.1 i
56.0 19.82 r
57.0 19.23 u
56.0 20.5 y
56.0 20.32 z
57.0 19.53 g
57.0 20.14 i
57.0 19.85 r
58.0 19.26 u
57.0 20.53 y
57.0 20.36 z
58.0 19.56 g
58.0 20.17 i
58.0 19.89 r
59.0 19.29 u
58.0 20.57 y
58.0 20.39 z
59.0 19.6 g
59.0 20.2 i
59.0 19.92 r
60.0 19.32 u
59.0 20.6 y
59.0 20.42 z
60.0 19.63 g
60.0 20.24 i
60.0 19.95 r
61.0 19.35 u
60.0 20.64 y
60.0 20.46 z
61.0 19.66 g
61.0 20.27 i
61.0 19.98 r
62.0 19.38 u
61.0 20.67 y
61.0 20.49 z
62.0 19.69 g
62.0 20.3 i
62.0 20.02 r
63.0 19.41 u
62.0 20.7 y
62.0 20.53 z
63.0 19.72 g
63.0 20.34 i
63.0 20.05 r
64.0 19.44 u
63.0 20.74 y
63.0 20.56 z
64.0 19.75 g
64.0 20.37 i
64.0 20.08 r
65.0 19.47 u
64.0 20.77 y
64.0 20.59 z
65.0 19.78 g
65.0 20.4 i
65.0 20.11 r
66.0 19.5 u
65.0 20.8 y
65.0 20.63 z
66.0 19.81 g
66.0 20.44 i
66.0 20.15 r
67.0 19.53 u
66.0 20.84 y
66.0 20.66 z
67.0 19.85 g
67.0 20.47 i
67.0 20.18 r
68.0 19.56 u
67.0 20.87 y
67.0 20.69 z
68.0 19.88 g
68.0 20.5 i
68.0 20.21 r
69.0 19.59 u
68.0 20.9 y
68.0 20.73 z
69.0 19.91 g
69.0 20.53 i
69.0 20.24 r
70.0 19.62 u
69.0 20.94 y
69.0 20.76 z
70.0 19.94 g
70.0 20.57 i
70.0 20.28 r
71.0 19.65 u
70.0 20.97 y
70.0 20.79 z
71.0 19.97 g
71.0 20.6 i
71.0 20.31 r
72.0 19.68 u
71.0 21.0 y
71.0 20.82 z
72.0 20.0 g
72.0 20.63 i
72.0 20.34 r
73.0 19.7 u
72.0 21.04 y
72.0 20.86 z
73.0 20.03 g
73.0 20.66 i
73.0 20.37 r
74.0 19.73 u
73.0 21.07 y
73.0 20.89 z
74.0 20.06 g
74.0 20.7 i
74.0 20.4 r
75.0 19.76 u
74.0 21.1 y
74.0 20.92 z
75.0 20.09 g
75.0 20.73 i
75.0 20.43 r
76.0 19.79 u
75.0 21.14 y
75.0 20.96 z
76.0 20.12 g
76.0 20.76 i
76.0 20.47 r
77.0 19.82 u
76.0 21.17 y
76.0 20.99 z
77.0 20.15 g
77.0 20.79 i
77.0 20.5 r
78.0 19.85 u
77.0 21.2 y
77.0 21.02 z
78.0 20.18 g
78.0 20.83 i
78.0 20.53 r
79.0 19.88 u
78.0 21.24 y
78.0 21.05 z
79.0 20.22 g
79.0 20.86 i
79.0 20.56 r
80.0 19.91 u
79.0 21.27 y
79.0 21.09 z
80.0 20.25 g
80.0 20.89 i
80.0 20.59 r
81.0 19.94 u
80.0 21.3 y
80.0 21.12 z
81.0 20.28 g
81.0 20.92 i
81.0 20.62 r
82.0 19.97 u
81.0 21.33 y
81.0 21.15 z
82.0 20.31 g
82.0 20.95 i
82.0 20.66 r
83.0 20.0 u
82.0 21.37 y
82.0 21.18 z
83.0 20.34 g
83.0 20.99 i
83.0 20.69 r
84.0 20.03 u
83.0 21.4 y
83.0 21.22 z
84.0 20.37 g
84.0 21.02 i
84.0 20.72 r
85.0 20.06 u
84.0 21.43 y
84.0 21.25 z
85.0 20.4 g
85.0 21.05 i
85.0 20.75 r
86.0 20.08 u
85.0 21.46 y
85.0 21.28 z
86.0 20.43 g
86.0 21.08 i
86.0 20.78 r
87.0 20.11 u
86.0 21.49 y
86.0 21.31 z
87.0 20.46 g
87.0 21.11 i
87.0 20.81 r
88.0 20.14 u
87.0 21.53 y
87.0 21.34 z
88.0 20.49 g
88.0 21.14 i
88.0 20.84 r
89.0 20.17 u
88.0 21.56 y
88.0 21.37 z
89.0 20.52 g
89.0 21.17 i
89.0 20.87 r
90.0 20.2 u
89.0 21.59 y
89.0 21.41 z
90.0 20.55 g
90.0 21.2 i
90.0 20.9 r
91.0 20.23 u
90.0 21.62 y
90.0 21.44 z
91.0 20.58 g
91.0 21.24 i
91.0 20.93 r
92.0 20.26 u
91.0 21.65 y
91.0 21.47 z
92.0 20.6 g
92.0 21.27 i
92.0 20.96 r
93.0 20.28 u
92.0 21.68 y
92.0 21.5 z
93.0 20.63 g
93.0 21.3 i
93.0 20.99 r
94.0 20.31 u
93.0 21.71 y
93.0 21.53 z
94.0 20.66 g
94.0 21.33 i
94.0 21.02 r
95.0 20.34 u
94.0 21.75 y
94.0 21.56 z
95.0 20.69 g
95.0 21.36 i
95.0 21.05 r
96.0 20.37 u
95.0 21.78 y
95.0 21.59 z
96.0 20.72 g
96.0 21.39 i
96.0 21.08 r
97.0 20.4 u
96.0 21.81 y
96.0 21.62 z
97.0 20.75 g
97.0 21.42 i
97.0 21.11 r
98.0 20.43 u
97.0 21.84 y
97.0 21.65 z
98.0 20.78 g
98.0 21.45 i
98.0 21.14 r
99.0 20.45 u
98.0 21.87 y
98.0 21.68 z
99.0 20.81 g
99.0 21.48 i
99.0 21.17 r
100.0 20.48 u
99.0 21.9 y
99.0 21.71 z
100.0 20.84 g
100.0 21.51 i
100.0 21.2 r
101.0 20.51 u
100.0 21.93 y
100.0 21.74 z
101.0 20.87 g
101.0 21.54 i
101.0 21.23 r
102.0 20.54 u
101.0 21.96 y
101.0 21.77 z
102.0 20.9 g
102.0 21.57 i
102.0 21.26 r
103.0 20.56 u
102.0 21.99 y
102.0 21.8 z
103.0 20.92 g
103.0 21.6 i
103.0 21.29 r
104.0 20.59 u
103.0 22.02 y
103.0 21.83 z
104.0 20.95 g
104.0 21.63 i
104.0 21.32 r
105.0 20.62 u
104.0 22.05 y
104.0 21.86 z
105.0 20.98 g
105.0 21.66 i
105.0 21.35 r
106.0 20.65 u
105.0 22.08 y
105.0 21.89 z
106.0 21.01 g
106.0 21.69 i
106.0 21.38 r
107.0 20.67 u
106.0 22.11 y
106.0 21.92 z
107.0 21.04 g
107.0 21.72 i
107.0 21.41 r
108.0 20.7 u
107.0 22.14 y
107.0 21.95 z
108.0 21.07 g
108.0 21.75 i
108.0 21.44 r
109.0 20.73 u
108.0 22.17 y
108.0 21.98 z
109.0 21.09 g
109.0 21.78 i
109.0 21.46 r
110.0 20.76 u
109.0 22.2 y
109.0 22.01 z
110.0 21.12 g
110.0 21.8 i
110.0 21.49 r
111.0 20.78 u
110.0 22.23 y
110.0 22.04 z
111.0 21.15 g
111.0 21.83 i
111.0 21.52 r
112.0 20.81 u
111.0 22.26 y
111.0 22.07 z
112.0 21.18 g
112.0 21.86 i
112.0 21.55 r
113.0 20.84 u
112.0 22.29 y
112.0 22.1 z
113.0 21.2 g
113.0 21.89 i
113.0 21.58 r
114.0 20.86 u
113.0 22.32 y
113.0 22.13 z
114.0 21.23 g
114.0 21.92 i
114.0 21.61 r
115.0 20.89 u
114.0 22.35 y
114.0 22.16 z
115.0 21.26 g
115.0 21.95 i
115.0 21.64 r
116.0 20.92 u
115.0 22.38 y
115.0 22.19 z
116.0 21.29 g
116.0 21.98 i
116.0 21.66 r
117.0 20.94 u
116.0 22.4 y
116.0 22.22 z
117.0 21.31 g
117.0 22.01 i
117.0 21.69 r
118.0 20.97 u
117.0 22.43 y
117.0 22.24 z
118.0 21.34 g
118.0 22.03 i
118.0 21.72 r
119.0 21.0 u
118.0 22.46 y
118.0 22.27 z
119.0 21.37 g
119.0 22.06 i
119.0 21.75 r
120.0 21.02 u
119.0 22.49 y
119.0 22.3 z
120.0 21.4 g
120.0 22.09 i
120.0 21.77 r
121.0 21.05 u
120.0 22.52 y
120.0 22.33 z
121.0 21.42 g
121.0 22.12 i
121.0 21.8 r
122.0 21.08 u
121.0 22.55 y
121.0 22.36 z
122.0 21.45 g
122.0 22.15 i
122.0 21.83 r
123.0 21.1 u
122.0 22.57 y
122.0 22.39 z
123.0 21.48 g
123.0 22.17 i
123.0 21.86 r
124.0 21.13 u
123.0 22.6 y
123.0 22.41 z
124.0 21.5 g
124.0 22.2 i
124.0 21.88 r
125.0 21.15 u
124.0 22.63 y
124.0 22.44 z
125.0 21.53 g
125.0 22.23 i
125.0 21.91 r
126.0 21.18 u
125.0 22.66 y
125.0 22.47 z
126.0 21.56 g
126.0 22.26 i
126.0 21.94 r
127.0 21.21 u
126.0 22.69 y
126.0 22.5 z
127.0 21.58 g
127.0 22.28 i
127.0 21.97 r
128.0 21.23 u
127.0 22.71 y
127.0 22.52 z
128.0 21.61 g
128.0 22.31 i
128.0 21.99 r
129.0 21.26 u
128.0 22.74 y
128.0 22.55 z
129.0 21.64 g
129.0 22.34 i
129.0 22.02 r
130.0 21.28 u
129.0 22.77 y
129.0 22.58 z
130.0 21.66 g
130.0 22.36 i
130.0 22.05 r
131.0 21.31 u
130.0 22.8 y
130.0 22.61 z
131.0 21.69 g
131.0 22.39 i
131.0 22.07 r
132.0 21.33 u
131.0 22.82 y
131.0 22.63 z
132.0 21.71 g
132.0 22.42 i
132.0 22.1 r
133.0 21.36 u
132.0 22.85 y
132.0 22.66 z
133.0 21.74 g
133.0 22.45 i
133.0 22.13 r
134.0 21.38 u
133.0 22.88 y
133.0 22.69 z
134.0 21.77 g
134.0 22.47 i
134.0 22.15 r
135.0 21.41 u
134.0 22.91 y
134.0 22.71 z
135.0 21.79 g
135.0 22.5 i
135.0 22.18 r
136.0 21.43 u
135.0 22.93 y
135.0 22.74 z
136.0 21.82 g
136.0 22.53 i
136.0 22.21 r
137.0 21.46 u
136.0 22.96 y
136.0 22.77 z
137.0 21.84 g
137.0 22.55 i
137.0 22.23 r
138.0 21.48 u
137.0 22.99 y
137.0 22.79 z
138.0 21.87 g
138.0 22.58 i
138.0 22.26 r
139.0 21.51 u
138.0 23.01 y
